ArticleID,PMID,Year,Title,Journal,Access,Details
5051368,35051368,2022,Magnesium sensing via LFA-1 regulates CD8+ T cell effector function,Cell,,
5051990,35051990,2022,Neutralizing antibodies against the SARS-CoV-2 Delta and Omicron variants following heterologous CoronaVac plus BNT162b2 booster vaccination,Nat Med,,
5051989,35051989,2022,Neutralizing antibodies against the SARS-CoV-2 Omicron variant following homologous and heterologous CoronaVac or BNT162b2 vaccination,Nat Med,,
5045565,35045565,2022,The cGAS-STING pathway drives type I IFN immunopathology in COVID-19,Nature,,
5045221,35045221,2022,Lenvatinib plus Pembrolizumab for Advanced Endometrial Cancer,N Engl J Med,,
5034076,35034076,2022,The intensive care management of acute ischaemic stroke,Curr Opin Crit Care,,
5051369,35051369,2022,Genetic manipulation of gut microbes enables single-gene interrogation in a complex microbiome,Cell,,
5051357,35051357,2022,MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells,Cancer Cell,,
5045337,35045337,2022,Genome-wide identification of the genetic basis of amyotrophic lateral sclerosis,Neuron,,
5050652,35050652,2022,High-speed fluorescence image-enabled cell sorting,Science,,
5051385,35051385,2022,Androgen deprivation therapy use and duration with definitive radiotherapy for localised prostate cancer: an individual patient data meta-analysis,Lancet Oncol,,
2489193,32489193,2020,Adult ADHD symptoms in a group of patients with substance abuse,Riv Psichiatr,,
5042229,35042229,2022,Rapid epidemic expansion of the SARS-CoV-2 Omicron variant in southern Africa,Nature,,
4303019,34303019,2021,"Why Was There Ever a Warning Not to Use Cephalosporins in the Setting of a Penicillin ""Allergy""?",J Allergy Clin Immunol Pract,,
9440582,29440582,2018,Long-Term Survival After Intravenous Thrombolysis for Ischemic Stroke: A Propensity Score-Matched Cohort With up to 10-Year Follow-Up,Stroke,Free PMC article,Clinical Trial
5042228,35042228,2022,Ancestral SARS-CoV-2-specific T cells cross-recognize the Omicron variant,Nat Med,,
055681,,1994,Drugs in semen,Clin Pharmacokinet,,
5045228,35045228,2022,"SER-109, an Oral Microbiome Therapy for Recurrent Clostridioides difficile Infection",N Engl J Med,,
5049036,35049036,2022,Delayed introduction of progressive enteral feeds to prevent necrotising enterocolitis in very low birth weight infants,Cochrane Database Syst Rev,,
